name,address,city,rating,phone #,lease length,deposit,size,rent $,tia,taylor,app fee,gym?,pool?,ameneties
San Leandro Racquet Club,2600 San Leandro Blvd,San Leandro,3 star property,,12-Month Lease Only,1000,525,2400,1500,900,30,False,True,['Package Service\nMaintenance on site\nProperty Manager on Site\nFurnished Units Available\nHealth Club Discount\nClubhouse\nLounge\nStorage Space\nSpa\nPool\nTennis Court\nHigh Speed Internet AccessAir Conditioning\nHeating\nCeiling Fans\nCable Ready\nTub/Shower\nFireplace\nDishwasher\nDisposal\nEat-in Kitchen\nKitchen\nRange\nRefrigerator']
Amber Court Apartment Homes,34050 Westchester Ter,Fremont,5 star property,844-711-2029,6 - 12 Month Leases,500,692,2695,1795,900,33,True,True,['Maintenance on site\nProperty Manager on Site\nRecycling\nRenters Insurance Program\nOnline Services\nCourtyard\nFitness Center\nCardio Machines\nFree Weights\nWeight Machines\nSauna\nPoolPlayground\nHigh Speed Internet Access\nWasher/Dryer\nAir Conditioning\nHeating\nSmoke Free\nCable Ready\nStorage Units\nTub/Shower\nFireplace\nDishwasher\nDisposal']
The Heights,2288-2300 Miramar Ave,San Leandro,4 star property,844-214-7571,6 - 12-Month,0,850,2595,1695,900,40,False,False,['Laundry Facilities\nSundeck\nOutdoor SkyLounge W/ Dual Sided Firewall\nHeating\nCable Ready\nDishwasher\nDisposal\nKitchen\nOven\nRange\nRefrigerator\nFreezerHardwood Floors\nCarpet\nViews\nLinen Closet\nBalcony\nYard\nBarbecue/Grill']
Creekwood,22294 City Center Dr,Hayward,4 star property,510-248-4814,None,0,518,3621,2721,900,45,True,True,['Package Service\nWi-Fi at Pool and Clubhouse\nLaundry Facilities\nMaintenance on site\nProperty Manager on Site\nCourtesy Patrol\nRecycling\nRenters Insurance Program\nPet Play Area\nElevator\nClubhouse\nGatedCabana\nCourtyard\nGrill\nPicnic Area\nZen Garden\nFitness Center\nSauna\nSpa\nPool\nPlayground\nTennis Court\nPutting Greens']
Seventy Harlan Apartments,70 Harlan St,San Leandro,4 star property,844-636-3363,1 year,0,650,2395,1495,900,35,True,False,['Laundry Facilities\nControlled Access\nProperty Manager on Site\n24 Hour Availability\nClubhouse\nGated\nCourtyard\nFitness Center\n$30/mo parking\n1 cat ok w/$25 pet rent\n70 harlan\ncarpetceiling fan\ncherry shaker kitchen cabinets\ncontempoary appliances\ncontrolled access\ncustom decor paint\nelectric heater\ngranite counters\nnew carpet\non-site laundry\nupdated kitchen\nHigh Speed Internet Access\nHeating']
San Leandro Racquet Club,2600 San Leandro Blvd,San Leandro,3 star property,,12-Month Lease Only,1000,525,2400,1500,900,30,False,True,['Package Service\nMaintenance on site\nProperty Manager on Site\nFurnished Units Available\nHealth Club Discount\nClubhouse\nLounge\nStorage Space\nSpa\nPool\nTennis Court\nHigh Speed Internet AccessAir Conditioning\nHeating\nCeiling Fans\nCable Ready\nTub/Shower\nFireplace\nDishwasher\nDisposal\nEat-in Kitchen\nKitchen\nRange\nRefrigerator']
Berkeley Apartments - Berkeleyan,1916 Oxford St,Berkeley,5 star property,844-623-2247,Flexible terms,500,454,5589,4689,900,47,False,False,['Package Service\nGated\nSmoke Free Living\nDishwasher']
The Lofts at Albert Park,155 Andersen Dr,San Rafael,5 star property,415-226-7674,Variable,300,475919,5212,4312,900,42,True,True,['24 Hour Availability\nPet Care\nElevator\nCourtyard\nFitness Center\nSpa\nFire Pit\nOnline Rent Payment & Service Requests\nPet-Friendly Community\nProfessional On-site Management\nProfessionally Landscaped\nConcrete Flooring*Fully-Equipped Kitchen\nHigh Speed Internet Access\nIn Select Apartment Homes*\nPrivate Deck\nSpacious Walk-In Closets*\nStackable Washer & Dryer Included\nWired for Technology Needs\nHigh Speed Internet Access\nWasher/Dryer\nCeiling Fans\nSmoke Free\nDishwasher']
Summerhill Terrace Apartments,15267 Hesperian Blvd,San Leandro,5 star property,888-508-2502,6 or 12 Months,0,500,2399,1499,900,40,False,True,['Package Service\nLaundry Facilities\nControlled Access\nMaintenance on site\nProperty Manager on Site\nLaundry Service\nElevator\nSundeck\nCourtyard\nPool\n5 Laundry Facilities\nBuilt-In MicrowaveBuilt-In Shelving\nEach Room Heat Controlled\nElectric Range\nFire Alarm System\nGarbage Disposal\nHot Tub\nOversized Closet\nPatio/Balcony\nHeating\nCeiling Fans\nCable Ready\nTub/Shower']
Woodchase Apartment Homes,2795 San Leandro Blvd,San Leandro,5 star property,844-822-2360,None,800,476,2925,2025,900,44,True,True,['Laundry Facilities\nControlled Access\nMaintenance on site\nProperty Manager on Site\nCourtesy Patrol\nClubhouse\nGated\nGrill\nPicnic Area\nFitness Center\nSpa\nPool19-foot cathedral ceilings\nCarpeting\nCarport\nCourtyard\nFireplace\nPatio/Balcony\nRefrigerator\nHigh Speed Internet Access\nCable Ready\nSatellite TV\nDishwasher\nDisposal']
